,labels,target,yt8m_id,yt_id
0,"[88, 184, 420, 514]",indoors,k5a7,LLf2i_EK6RU
1,"[15, 18, 60, 87, 545, 1696]",outdoors,Nda7,bkK-qbwAgJo
2,"[511, 514, 1148, 2277, 2405]",indoors,Dca7,jsFiMne0Eyk
3,[60],outdoors,OEa7,p4Ub6lYdK38
4,"[11, 20, 22, 29, 176, 307, 2561]",indoors,EMa7,KW2WY3GIpt4
5,[60],outdoors,XTa7,WMg80hvfJTY
6,"[1, 105, 184, 246]",indoors,k8a7,rLtCskwerAk
7,"[18, 43, 59, 60, 101, 571, 823]",outdoors,Txa7,Y3CsxkaT3Eo
8,[248],outdoors,ZAa7,e2S-BKy4s9E
9,"[43, 60, 101, 286, 374, 693, 1415]",outdoors,8Fa7,MVEC5CBHRF0
10,"[43, 60, 101, 1975]",outdoors,Esa7,fK4nlbXdiS4
11,[60],outdoors,ysa7,cPkjg_Qc-z0
12,"[88, 184, 307, 313, 364, 514, 616]",indoors,3Ga7,jheLdBeOS5o
13,"[53, 58, 60, 163, 232, 427, 2690]",outdoors,SUbu,QRaJ1GJxAUU
14,"[15, 60, 239, 686, 1714, 1880]",outdoors,Hrbu,h6zbgyiYSxk
15,"[184, 388, 1583]",indoors,Qgbu,7EYwThh6LY4
16,"[15, 18, 87, 248]",outdoors,9obu,Ji1rSTmLXLw
17,[248],outdoors,58bu,ReIwAz2OQz4
18,"[2, 17, 30, 248, 511, 1068]",outdoors,Iabu,ZXhdzgn7NSI
19,[184],indoors,bPbu,WNTgUVGpcX4
20,"[2, 666, 1948]",outdoors,tcbu,5bQEyRiFfbo
21,"[60, 64, 95, 149, 729]",outdoors,rTbu,c0rHPyVyGHU
22,"[313, 347, 364, 1013, 2105]",outdoors,0sbu,UgFiNi2uuhE
23,"[88, 184, 364, 416]",indoors,Z6bu,PT0J1pGQqTE
24,"[2, 60, 76, 385, 1055]",outdoors,AHbu,jwSNya1DC4M
25,"[19, 53, 58, 60]",outdoors,Xfbu,vcU9DVMjebM
26,"[2, 76, 248]",outdoors,bAbu,cQqmoNovpyk
27,"[2, 18, 43, 59, 60, 76, 101]",outdoors,OUbw,kPGRSM-bEz4
28,"[254, 1226, 1886, 1970, 2900]",outdoors,V7bw,NRaUatGBxuk
29,"[18, 43, 59, 60, 101, 1685]",outdoors,cRbw,a6K3w1u9yTo
30,"[2, 60, 76, 385, 1055]",outdoors,jtbw,_fWx7PzNI7Q
31,"[18, 43, 59, 60, 101, 286, 1685]",outdoors,HRbw,7EU8CHLgRHo
32,"[88, 184, 313, 364, 416, 1013]",indoors,Tebw,BOer4WZy_yc
33,"[53, 60]",outdoors,GWbw,6RJC-_59QqM
34,"[18, 43, 59, 60, 101, 419]",outdoors,71bw,q8r_xqbG_ug
35,"[15, 18, 67, 170, 514, 1148, 1831]",indoors,pjbw,WCORVY9Zr00
36,"[15, 18, 60, 87, 333, 365, 545]",outdoors,Ivbw,kR0h2l---r4
37,"[60, 385]",outdoors,zjbw,XEsz88W69EQ
